Name,Sector,ESGRating,Date,Category
CHEMPLAST SANMAR LIMITED,Commodity Chemicals,Crisil ESG 48,26-Aug-25,Below average
CHENNAI PETROLEUM CORPORATION LIMITED,Refineries & Marketing,Crisil ESG 50,10-Sep-25,Below average
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,Investment Company,Crisil ESG 63,19-Aug-25,Strong
CHOLAMANDALAM INVESTMENT & FINANCE COMPANY LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 63,18-Aug-25,Strong
CIE AUTOMOTIVE INDIA LIMITED,Auto Components & Equipments,Crisil ESG 52,16-May-25,Adequate
CIPLA LIMITED,Pharmaceuticals,Crisil ESG 63,11-Jul-25,Strong
CITY UNION BANK LIMITED,Private Sector Bank,Crisil ESG 67,20-Aug-25,Strong
CLEAN SCIENCE & TECHNOLOGY LIMITED,Specialty Chemicals,Crisil ESG 51,3-Sep-25,Adequate
CMS INFO SYSTEMS LIMITED,Diversified Commercial Services,Crisil ESG 54,8-Sep-25,Adequate
COAL INDIA LIMITED,Coal,Crisil ESG 53,12-Sep-25,Adequate
COCHIN SHIPYARD LIMITED,Ship Building & Allied Services,Crisil ESG 51,10-Oct-25,Adequate
COFORGE LIMITED,Computers - Software & Consulting,Crisil ESG 66,7-Oct-25,Strong
COHANCE LIFESCIENCES LIMITED,Pharmaceuticals,Crisil ESG 54,6-Oct-25,Adequate
COLGATE - PALMOLIVE INDIA LIMITED,Personal Care,Crisil ESG 63,11-Jul-25,Strong
COMPUTER AGE MANAGEMENT SERVICES LIMITED,"Depositories, Clearing Houses and Other Intermediaries",Crisil ESG 64,22-Jul-25,Strong
CONFIDENCE PETROLEUM INDIA LIMITED,LPG/CNG/PNG/LNG Supplier,Crisil ESG 47,20-Oct-25,Below average
CONTAINER CORPORATION OF INDIA LIMITED,Logistics Solution Provider,Crisil ESG 55,10-Oct-25,Adequate
COROMANDEL INTERNATIONAL LIMITED,Fertilizers,Crisil ESG 55,6-Aug-25,Adequate
CRAFTSMAN AUTOMATION LIMITED,Auto Components & Equipments,Crisil ESG 53,28-Jul-25,Adequate
CREDILA FINANCIAL SERVICES LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 57,10-Oct-25,Adequate
CREDITACCESS GRAMEEN LIMITED,Microfinance Institutions,Crisil ESG 67,14-Aug-25,Strong
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,Household Appliances,Crisil ESG 64,23-Jul-25,Strong
CSB BANK LIMITED,Private Sector Bank,Crisil ESG 64,10-Sep-25,Strong
CUMMINS INDIA LIMITED,"Compressors, Pumps & Diesel Engines",Crisil ESG 59,22-Aug-25,Adequate
CYIENT LIMITED,IT Enabled Services,Crisil ESG 63,31-Jul-25,Strong
D.B. CORP LIMITED,Print Media,Crisil ESG 57,16-Sep-25,Adequate
DABUR INDIA LIMITED,Personal Care,Crisil ESG 58,8-Aug-25,Adequate
DALMIA BHARAT LIMITED,Cement & Cement Products,Crisil ESG 57,15-Jul-25,Adequate
DALMIA BHARAT SUGAR & INDUSTRIES LIMITED,Sugar,Crisil ESG 61,21-Jul-25,Strong
DATA PATTERNS (INDIA) LIMITED,Aerospace & Defense,Crisil ESG 55,22-Aug-25,Adequate
DATAMATICS GLOBAL SERVICES LIMITED,IT Enabled Services,Crisil ESG 57,3-Oct-25,Adequate
DCB BANK LIMITED,Private Sector Bank,Crisil ESG 66,20-Aug-25,Strong
DCM SHRIRAM LIMITED,Diversified,Crisil ESG 57,25-Aug-25,Adequate
DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LIMITED,Commodity Chemicals,Crisil ESG 49,26-Sep-25,Below Average
DEEPAK NITRITE LIMITED,Specialty Chemicals,Crisil ESG 45,1-Sep-25,Below average
DELHIVERY LIMITED,Logistics Solution Provider,Crisil ESG 56,17-Sep-25,Adequate
DELTA CORP LIMITED,Amusement Parks/ Other Recreation,Crisil ESG 53,22-Sep-25,Adequate
DEN NETWORKS LIMITED,TV Broadcasting & Software Production,Crisil ESG 56,21-Aug-25,Adequate
DEVYANI INTERNATIONAL LIMITED,Restaurants,Crisil ESG 56,14-Aug-25,Adequate
DHAMPUR SUGAR MILLS LIMITED,Sugar,Crisil ESG 55,10-Sep-25,Adequate
DHANI SERVICES LIMITED,Other Financial Services,Crisil ESG 52,8-Oct-25,Adequate
DHANUKA AGRITECH LIMITED,Pesticides & Agrochemicals,Crisil ESG 50,12-Aug-25,Below average
DILIP BUILDCON LIMITED,Civil Construction,Crisil ESG 52,30-Sep-25,Adequate
DISA INDIA LIMITED,Industrial Products,Crisil ESG 54,29-Aug-25,Adequate
DISH TV INDIA LIMITED,TV Broadcasting & Software Production,Crisil ESG 39,21-Aug-25,Weak
